# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
ReadAction.executionsCount,1784462526344000000,1784462537615000000,45878
AWTEventQueue.dispatchTimeMaxNs,1784462526344000000,1784462537615000000,0
NonBlockingReadAction.failedExecutionsCount,1784462526344000000,1784462537615000000,0
AWTEventQueue.dispatchTime90PNs,1784462526344000000,1784462537615000000,0
NonBlockingReadAction.failedExecutionTimeUs,1784462526344000000,1784462537615000000,0
AWTEventQueue.eventsDispatched,1784462526344000000,1784462537615000000,0
FlushQueue.queueSizeAvg,1784462526344000000,1784462537615000000,0.0
AWTEventQueue.dispatchTimeTotalNS,1784462526344000000,1784462537615000000,9580114100
FlushQueue.waitingTimeAvgNs,1784462526344000000,1784462537615000000,0.0
FlushQueue.executionTimeAvgNs,1784462526344000000,1784462537615000000,0.0
FlushQueue.waitingTime90PNs,1784462526344000000,1784462537615000000,0
NonBlockingReadAction.finalizedExecutionsCount,1784462526344000000,1784462537615000000,17
FlushQueue.queueSize90P,1784462526344000000,1784462537615000000,0
AWTEventQueue.dispatchTimeAvgNs,1784462526344000000,1784462537615000000,0.0
NonBlockingReadAction.finalizedExecutionTimeUs,1784462526344000000,1784462537615000000,274912
FlushQueue.queueSizeMax,1784462526344000000,1784462537615000000,0
FlushQueue.executionTime90PNs,1784462526344000000,1784462537615000000,0
FlushQueue.waitingTimeMaxNs,1784462526344000000,1784462537615000000,0
FlushQueue.tasksExecuted,1784462526344000000,1784462537615000000,0
WriteAction.executionsCount,1784462526344000000,1784462537615000000,1
FlushQueue.executionTimeMaxNs,1784462526344000000,1784462537615000000,0
workspaceModel.update.unloaded.entities.ms,1784462526344000000,1784462537615000000,0
workspaceModel.cachedValue.from.cache.count,1784462526344000000,1784462537615000000,4
workspaceModel.to.snapshot.ms,1784462526344000000,1784462537615000000,0
workspaceModel.updates.precise.ms,1784462526344000000,1784462537615000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1784462526344000000,1784462537615000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1784462526344000000,1784462537615000000,0
workspaceModel.cachedValue.total.get.count,1784462526344000000,1784462537615000000,5
workspaceModel.on.before.changed.ms,1784462526344000000,1784462537615000000,0
workspaceModel.collect.changes.ms,1784462526344000000,1784462537615000000,0
workspaceModel.loading.total.ms,1784462526344000000,1784462537615000000,33
workspaceModel.loading.from.cache.ms,1784462526344000000,1784462537615000000,25
workspaceModel.init.bridges.ms,1784462526344000000,1784462537615000000,0
workspaceModel.cachedValueWithParameters.clear.count,1784462526344000000,1784462537615000000,0
workspaceModel.check.recursive.update.ms,1784462526344000000,1784462537615000000,0
workspaceModel.pre.handlers.ms,1784462526344000000,1784462537615000000,0
workspaceModel.replace.project.model.ms,1784462526344000000,1784462537615000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1784462526344000000,1784462537615000000,3
workspaceModel.full.replace.project.model.ms,1784462526344000000,1784462537615000000,0
workspaceModel.cachedValue.clear.count,1784462526344000000,1784462537615000000,0
workspaceModel.on.changed.ms,1784462526344000000,1784462537615000000,0
workspaceModel.cachedValue.calculated.count,1784462526344000000,1784462537615000000,1
workspaceModel.updates.count,1784462526344000000,1784462537615000000,0
